id_employe,nom,prenom,sexe,date_naissance,date_embauche,poste,service,type_contrat,statut,anciennete
1026,François,Franck,M,2003-01-18,2022-08-30,Analyste RH,RH,CDI,Actif,3
1027,Gomes,Franck,M,1998-06-04,2017-03-07,Comptable,RH,Intérim,Actif,8
1028,Weiss,Suzanne,F,1974-03-05,2014-12-15,Développeur,RH,CDI,Inactif,11
1029,Joly,Gérard,M,2002-08-26,2019-08-15,Comptable,Direction,CDD,Inactif,6
1030,Charles,Stéphane,M,1993-08-09,2020-05-17,Analyste RH,RH,Intérim,Actif,5
1031,Alexandre,Jules,M,1979-05-18,2012-10-20,Développeur,Direction,Intérim,Inactif,13
1032,Grégoire,Paul,M,1970-08-21,2023-04-23,Ingénieur Système,RH,CDD,Inactif,2
1033,Rousseau,Bertrand,M,1974-11-07,2021-02-14,Chef de projet,Finance,CDD,Inactif,4
1034,Leroux,Zacharie,M,1993-03-06,2020-08-05,Développeur,IT,Intérim,Actif,5
1035,Andre,Nathalie,F,1990-06-03,2020-08-02,Comptable,IT,CDD,Actif,5
1036,Bigot,Jeannine,F,2002-02-05,2010-08-24,Chef de projet,Finance,Intérim,Inactif,15
1037,Bazin,Bertrand,M,2000-12-28,2023-03-23,Comptable,IT,CDI,Actif,2
1038,Da Costa,Marianne,F,1972-01-16,2015-06-11,Chef de projet,IT,CDD,Actif,10
1039,Gay,Édouard,M,1995-04-30,2010-07-04,Ingénieur Système,Direction,Intérim,Inactif,15
1040,Mace,Julie,F,1998-07-08,2023-05-31,Chef de projet,Direction,CDD,Actif,2
1041,Colin,Philippe,M,1971-09-10,2021-02-01,Comptable,Direction,CDI,Inactif,4
1042,Léger,Timothée,M,1998-12-31,2020-10-23,Développeur,Finance,CDI,Inactif,5
1043,Philippe,Denis,M,1989-11-23,2023-06-04,Développeur,Finance,CDD,Inactif,2
1044,Renard,Adélaïde,F,1986-07-05,2018-10-06,Chef de projet,RH,CDD,Inactif,7
1045,Moreau,Cécile,F,1989-02-24,2024-03-05,Comptable,IT,Intérim,Inactif,1
1046,Le Gall,Isabelle,F,1968-05-23,2014-07-19,Analyste RH,Direction,CDD,Inactif,11
1047,Duhamel,Audrey,F,1970-04-12,2022-11-25,Comptable,RH,Intérim,Actif,3
1048,Vallée,Arthur,M,2000-09-13,2023-06-24,Analyste RH,Commercial,Intérim,Inactif,2
1049,Marchand,Charlotte,F,1996-10-17,2019-10-21,Ingénieur Système,IT,CDI,Actif,6
1050,Gaillard,Julie,F,2000-05-11,2020-10-08,Ingénieur Système,Commercial,CDD,Inactif,5
1051,Briand,Franck,M,2001-02-24,2023-04-20,Développeur,RH,Intérim,Actif,2
1052,Chauveau,Émilie,F,1985-08-30,2017-03-28,Développeur,Direction,CDI,Actif,8
1053,Leconte,Victor,M,1989-11-11,2017-11-26,Développeur,IT,Intérim,Actif,8
1054,Blondel,Stéphanie,F,1972-09-07,2014-09-01,Chef de projet,Direction,CDI,Inactif,11
1055,Jean,Anouk,F,1987-06-17,2010-10-22,Chef de projet,IT,Intérim,Actif,15
1056,Pruvost,Robert,M,1980-02-10,2020-06-17,Chef de projet,Direction,Intérim,Actif,5
1057,Vasseur,Adrien,M,1969-04-13,2022-06-29,Ingénieur Système,Commercial,CDI,Actif,3
1058,Lefort,Anne,F,1980-01-12,2011-08-06,Ingénieur Système,RH,CDI,Actif,14
1059,David,Jacques,M,1969-04-10,2019-03-13,Analyste RH,Finance,CDD,Inactif,6
1060,Gomez,Guillaume,M,1997-06-26,2014-02-04,Développeur,Direction,Intérim,Actif,11
1061,Gimenez,Christelle,F,2003-04-24,2020-04-02,Développeur,Finance,CDI,Actif,5
1062,Reynaud,Jacqueline,F,1996-08-20,2024-03-09,Développeur,Commercial,Intérim,Actif,1
1063,Cordier,Étienne,M,1970-11-14,2012-02-06,Développeur,Commercial,CDI,Actif,13
1064,Delmas,Philippine,F,1988-07-24,2017-08-28,Développeur,RH,CDD,Actif,8
1065,Bouchet,Nicolas,M,1968-02-20,2021-11-27,Ingénieur Système,IT,CDI,Actif,4
1066,Guibert,Tristan,M,1971-02-24,2011-06-25,Analyste RH,Commercial,CDD,Actif,14
1067,Antoine,Jean,M,1971-11-20,2014-09-06,Comptable,Commercial,Intérim,Inactif,11
1068,Olivier,Étienne,M,2000-12-11,2018-01-30,Comptable,RH,Intérim,Inactif,7
1069,Joly,Marcel,M,1976-12-08,2015-03-10,Développeur,Direction,CDI,Actif,10
1070,Pinto,Gérard,M,1969-07-31,2017-12-27,Analyste RH,Direction,Intérim,Actif,8
1071,Dias,Benoît,M,1967-11-23,2021-07-18,Ingénieur Système,Commercial,CDI,Inactif,4
1072,Gimenez,Agathe,F,1970-10-19,2023-04-09,Développeur,IT,Intérim,Actif,2
1073,Gomez,Émile,M,1992-02-09,2018-09-17,Analyste RH,Direction,CDD,Actif,7
1074,Leduc,Frédérique,F,1991-09-28,2011-06-13,Chef de projet,Commercial,CDD,Inactif,14
1075,Gaillard,Laurent,M,1964-08-06,2017-02-02,Développeur,Finance,CDD,Inactif,8
1076,Aubry,Susanne,F,1983-11-11,2017-08-24,Analyste RH,RH,CDD,Inactif,8
1077,Grenier,Véronique,F,1974-12-26,2013-09-05,Analyste RH,Direction,CDD,Actif,12
1078,Collet,Gabrielle,F,1968-06-06,2020-04-20,Comptable,IT,CDI,Actif,5
1079,Guyon,Anne,F,1985-10-16,2011-06-04,Analyste RH,IT,Intérim,Inactif,14
1080,Girard,Valentine,F,1998-09-02,2019-06-27,Comptable,RH,Intérim,Actif,6
1081,Barbier,Andrée,F,1999-01-04,2011-10-24,Analyste RH,Finance,Intérim,Inactif,14
1082,Lemoine,Arthur,M,1969-01-28,2021-12-08,Ingénieur Système,Direction,Intérim,Actif,4
1083,Huet,Luc,M,1972-08-10,2020-02-21,Ingénieur Système,Finance,CDD,Actif,5
1084,Hoarau,Stéphane,M,1967-02-26,2020-12-26,Développeur,Direction,CDI,Actif,5
1085,Faure,Paulette,F,2002-11-30,2019-05-06,Analyste RH,Finance,CDI,Actif,6
1086,Gomes,Josette,F,1978-05-08,2021-11-04,Analyste RH,IT,Intérim,Inactif,4
1087,Auger,Margaux,F,1980-09-10,2014-12-20,Chef de projet,Direction,CDD,Inactif,11
1088,Delaunay,Christelle,F,1984-11-12,2018-03-25,Analyste RH,IT,CDI,Inactif,7
1089,Gomes,Arnaude,F,1965-01-31,2018-03-31,Ingénieur Système,Commercial,Intérim,Inactif,7
1090,Loiseau,Capucine,F,1969-06-08,2019-08-06,Analyste RH,Finance,CDI,Inactif,6
1091,Benoit,Philippe,M,1982-07-01,2012-09-14,Développeur,Direction,CDI,Inactif,13
1092,Lévêque,Arthur,M,1981-01-27,2016-09-26,Comptable,IT,Intérim,Inactif,9
1093,Jacquet,Édouard,M,1994-04-09,2019-09-10,Développeur,Finance,CDD,Inactif,6
1094,Fischer,Madeleine,F,2000-06-11,2010-08-01,Chef de projet,Direction,CDI,Inactif,15
1095,Martineau,Robert,M,1984-10-28,2021-09-26,Chef de projet,IT,CDD,Inactif,4
1096,Duval,Daniel,M,1982-06-13,2012-05-31,Développeur,RH,CDD,Inactif,13
1097,Gautier,Robert,M,1975-01-11,2015-01-31,Ingénieur Système,RH,Intérim,Inactif,10
1098,Carre,Thibaut,M,1978-10-14,2022-08-29,Ingénieur Système,IT,Intérim,Inactif,3
1099,Le Goff,François,M,1982-06-01,2019-01-18,Ingénieur Système,RH,Intérim,Actif,6
1100,Camus,Jeannine,F,1967-11-28,2012-01-08,Analyste RH,Direction,CDD,Actif,13
1101,Couturier,Marcel,M,1983-04-12,2011-03-14,Analyste RH,IT,CDD,Inactif,14
1102,Bernard,Margaret,F,1973-05-09,2021-04-15,Chef de projet,IT,CDI,Actif,4
1103,Charles,Corinne,F,1994-07-08,2019-11-02,Ingénieur Système,Direction,CDD,Actif,6
1104,Munoz,Marcel,M,2002-08-15,2010-08-13,Ingénieur Système,Finance,CDI,Actif,15
1105,Marie,Astrid,F,1974-08-05,2019-09-25,Analyste RH,Commercial,CDI,Actif,6
1106,Da Silva,Michèle,F,2002-01-19,2012-12-20,Comptable,RH,CDD,Actif,13
1107,Perret,Christophe,M,1967-04-19,2015-09-11,Ingénieur Système,Finance,Intérim,Inactif,10
1108,Marchal,Alice,F,1988-10-19,2014-01-09,Analyste RH,Commercial,CDI,Inactif,11
1109,Normand,Jeanne,F,1971-06-12,2016-06-19,Développeur,Commercial,CDI,Inactif,9
1110,Valette,Odette,F,1974-12-20,2014-06-24,Développeur,RH,CDD,Actif,11
1111,Goncalves,Dorothée,F,1992-07-04,2010-11-15,Ingénieur Système,IT,CDI,Inactif,15
1112,Colin,Margaret,F,1992-06-20,2024-02-05,Développeur,IT,Intérim,Inactif,1
1113,Laroche,Gérard,M,1982-08-10,2013-02-27,Chef de projet,Direction,Intérim,Inactif,12
1114,Boutin,Bernard,M,1990-06-26,2011-02-09,Ingénieur Système,Finance,Intérim,Actif,14
1115,Lelièvre,Frédéric,M,1978-01-12,2024-05-05,Analyste RH,Finance,CDI,Actif,1
1116,Jacques,Jérôme,M,1985-03-21,2024-05-29,Comptable,IT,Intérim,Actif,1
1117,Dumas,Hélène,F,1966-01-23,2021-09-05,Chef de projet,Finance,Intérim,Inactif,4
1118,Olivier,Noémi,F,1986-10-15,2015-03-11,Comptable,Direction,CDI,Inactif,10
1119,Muller,Guillaume,M,1988-05-06,2021-05-13,Analyste RH,Commercial,Intérim,Inactif,4
1120,Grégoire,Noémi,F,2000-12-09,2016-01-31,Chef de projet,Finance,CDD,Actif,9
1121,Leroy,Céline,F,1982-03-24,2013-06-27,Comptable,Commercial,Intérim,Actif,12
1122,Blin,Julie,F,1967-01-20,2012-04-17,Chef de projet,Finance,Intérim,Inactif,13
1123,Godard,Martin,M,1987-12-23,2022-11-05,Développeur,Direction,Intérim,Actif,3
1124,Bouvier,Martin,M,1999-04-03,2012-06-01,Comptable,Commercial,CDI,Inactif,13
1125,Collin,Sébastien,M,1977-05-21,2014-10-13,Ingénieur Système,Commercial,CDD,Actif,11
1126,Bertrand,Martin,M,1964-07-26,2019-04-18,Analyste RH,Finance,Intérim,Inactif,6
1127,Tanguy,Zacharie,M,1977-11-10,2016-08-24,Chef de projet,Commercial,Intérim,Inactif,9
1128,Perret,Arthur,M,1986-12-03,2021-01-19,Développeur,RH,CDD,Inactif,4
1129,Bouvier,Vincent,M,1972-12-06,2022-09-11,Développeur,IT,CDI,Inactif,3
1130,Ribeiro,Claude,F,1985-07-01,2021-10-17,Ingénieur Système,IT,Intérim,Actif,4
1131,Lejeune,Marguerite,F,1991-11-01,2022-04-24,Ingénieur Système,Finance,CDD,Inactif,3
1132,Collet,Charlotte,F,1977-07-04,2017-08-08,Analyste RH,IT,CDD,Inactif,8
1133,Chartier,Laurent,M,1976-04-17,2020-12-02,Chef de projet,Commercial,CDD,Inactif,5
1134,Colas,Madeleine,F,1992-02-01,2019-10-09,Analyste RH,Direction,CDI,Actif,6
1135,Martin,Henri,M,1983-12-23,2014-01-10,Comptable,RH,CDI,Inactif,11
1136,Perret,Margot,F,1996-02-04,2017-12-19,Ingénieur Système,IT,CDI,Inactif,8
1137,Pichon,Frédérique,F,1999-03-28,2018-07-02,Comptable,Direction,CDI,Inactif,7
1138,Guyon,Émile,M,1970-03-22,2015-04-12,Analyste RH,Direction,Intérim,Actif,10
1139,Buisson,Vincent,M,1987-04-06,2012-01-15,Analyste RH,RH,Intérim,Actif,13
1140,Hamel,Georges,M,1985-07-29,2014-04-09,Développeur,Finance,Intérim,Actif,11
1141,Philippe,Claudine,F,1966-02-11,2011-03-28,Comptable,RH,CDD,Inactif,14
1142,Moulin,Thérèse,F,1969-05-29,2018-03-13,Analyste RH,IT,CDD,Actif,7
1143,Legros,Élise,F,1990-07-31,2018-11-10,Développeur,Finance,CDD,Actif,7
1144,Alexandre,Gérard,M,1974-06-29,2021-08-11,Analyste RH,IT,CDI,Inactif,4
1145,Lagarde,Adrien,M,1971-09-15,2023-09-10,Ingénieur Système,IT,Intérim,Actif,2
1146,Lamy,Frédéric,M,1976-06-02,2024-02-17,Développeur,Commercial,CDD,Inactif,1
1147,Grenier,Raymond,M,1996-01-24,2011-04-22,Chef de projet,Finance,Intérim,Inactif,14
1148,Pascal,Jeanne,F,1972-09-16,2018-03-20,Analyste RH,Commercial,CDI,Actif,7
1149,Lucas,Susan,F,2000-08-05,2019-12-17,Comptable,IT,Intérim,Inactif,6
1150,Valentin,Hugues,M,1994-07-27,2020-11-14,Comptable,IT,CDI,Actif,5
1151,Fouquet,Claude,F,1993-06-28,2019-10-09,Comptable,IT,Intérim,Actif,6
1152,Cohen,Constance,F,1996-10-02,2018-02-08,Analyste RH,Commercial,CDI,Actif,7
1153,Poirier,Jeanne,F,1983-04-28,2023-06-24,Analyste RH,IT,Intérim,Actif,2
1154,Merle,Véronique,F,1980-09-24,2015-02-14,Comptable,RH,CDI,Inactif,10
1155,Besnard,Auguste,M,1983-11-23,2014-06-10,Comptable,Commercial,CDI,Inactif,11
1156,Maillard,Margaret,F,1986-03-17,2019-08-22,Comptable,IT,CDD,Actif,6
1157,Faure,Daniel,M,1974-09-18,2014-05-21,Comptable,Finance,CDI,Actif,11
1158,Jacob,Denis,M,1979-01-04,2011-07-18,Analyste RH,IT,Intérim,Inactif,14
1159,Legros,Lucas,M,1986-12-20,2019-09-06,Développeur,Finance,Intérim,Actif,6
1160,Turpin,Patricia,F,1968-09-08,2013-12-20,Chef de projet,RH,CDI,Actif,12
1161,De Oliveira,Nath,F,1965-10-12,2023-06-23,Comptable,Finance,CDI,Inactif,2
1162,Bruneau,Laurent,M,1996-11-28,2010-07-20,Développeur,Finance,CDI,Actif,15
1163,Benard,Lucy,F,1990-12-28,2017-07-30,Chef de projet,Commercial,CDI,Inactif,8
1164,Tanguy,Geneviève,F,1997-09-04,2014-03-08,Ingénieur Système,Finance,Intérim,Inactif,11
1165,Maillard,Renée,F,1997-07-01,2010-12-11,Analyste RH,IT,CDD,Actif,15
1166,Perrier,Maggie,F,1991-12-19,2022-10-08,Développeur,Commercial,CDI,Actif,3
1167,Gaillard,Suzanne,F,1973-02-19,2021-01-13,Comptable,Commercial,CDD,Inactif,4
1168,Joubert,Alexandrie,F,1991-04-07,2020-07-08,Chef de projet,IT,CDD,Actif,5
1169,Thibault,Vincent,M,1966-04-18,2011-11-17,Développeur,Finance,CDD,Actif,14
1170,Weiss,Pénélope,F,1973-09-07,2018-04-21,Analyste RH,IT,CDD,Actif,7
1171,Vidal,Anaïs,F,1982-02-26,2016-11-24,Analyste RH,Direction,Intérim,Actif,9
1172,Millet,Frédérique,F,1995-05-24,2016-01-04,Ingénieur Système,Finance,CDD,Actif,9
1173,Marques,Monique,F,1983-05-22,2023-03-30,Développeur,IT,Intérim,Inactif,2
1174,De Oliveira,Jeannine,F,1970-01-09,2018-06-14,Chef de projet,Direction,Intérim,Actif,7
1175,Moreau,Anastasie,F,1988-04-07,2014-04-07,Développeur,Finance,CDI,Inactif,11
1176,Delahaye,Antoinette,F,1967-03-11,2023-04-13,Ingénieur Système,RH,CDI,Actif,2
1177,Martinez,Jeanne,F,1978-01-07,2010-10-18,Ingénieur Système,RH,CDI,Inactif,15
1178,Loiseau,Colette,F,1980-09-07,2012-08-06,Ingénieur Système,RH,Intérim,Inactif,13
1179,Reynaud,Xavier,M,1972-03-27,2020-01-17,Chef de projet,Direction,CDI,Actif,5
1180,Carpentier,Nicolas,M,1981-11-20,2023-07-01,Chef de projet,Direction,CDI,Actif,2
1181,Tessier,Danielle,F,1972-03-30,2023-09-07,Chef de projet,Commercial,CDI,Inactif,2
1182,Goncalves,Marcelle,F,1971-10-22,2020-04-17,Analyste RH,Commercial,CDD,Inactif,5
1183,Michel,Honoré,M,1989-12-28,2017-03-13,Chef de projet,IT,CDD,Inactif,8
1184,Auger,Élodie,F,1969-08-15,2020-07-10,Comptable,Commercial,CDD,Inactif,5
1185,Blot,Jacqueline,F,1971-05-21,2022-04-24,Comptable,IT,CDI,Actif,3
1186,Leleu,Henri,M,1972-09-08,2023-12-30,Chef de projet,Finance,CDD,Inactif,2
1187,Moreno,Alphonse,M,1988-01-29,2019-07-07,Développeur,Direction,CDD,Actif,6
1188,Gilbert,Michèle,F,1969-02-21,2019-01-21,Ingénieur Système,Direction,Intérim,Actif,6
1189,Jourdan,Jean,M,1965-04-24,2017-08-06,Chef de projet,Direction,Intérim,Inactif,8
1190,Camus,Bernard,M,1993-12-14,2016-08-11,Chef de projet,Commercial,Intérim,Actif,9
1191,Bousquet,Michel,M,1974-11-11,2017-11-10,Développeur,Direction,CDI,Actif,8
1192,Schmitt,Raymond,M,1982-10-30,2020-12-05,Comptable,Finance,CDD,Inactif,5
1193,Tanguy,Valérie,F,1996-02-01,2017-11-10,Comptable,Direction,Intérim,Inactif,8
1194,Foucher,Juliette,F,1986-05-20,2014-08-17,Chef de projet,IT,CDI,Inactif,11
1195,Fernandez,Guillaume,M,1995-02-16,2014-08-07,Ingénieur Système,Finance,CDD,Inactif,11
1196,Hamel,Nicolas,M,2003-03-25,2020-10-31,Développeur,Commercial,CDD,Inactif,5
1197,Laroche,Laurent,M,1987-05-06,2010-12-09,Analyste RH,Direction,CDD,Inactif,15
1198,Costa,Marguerite,F,1976-10-28,2018-09-29,Chef de projet,Finance,Intérim,Actif,7
1199,Lecomte,Marthe,F,1982-01-12,2016-03-28,Ingénieur Système,RH,CDD,Inactif,9
1200,Guyot,Laure,F,2002-04-10,2010-08-16,Analyste RH,Finance,CDI,Actif,15
1201,Blondel,Élisabeth,F,1970-04-11,2014-07-22,Comptable,IT,Intérim,Inactif,11
1202,Fouquet,Lucas,M,1997-09-12,2019-11-23,Chef de projet,RH,CDI,Actif,6
1203,Thierry,Isabelle,F,1996-11-06,2021-06-09,Analyste RH,Finance,Intérim,Inactif,4
1204,Mendès,Victoire,F,1994-12-13,2023-12-10,Développeur,Commercial,CDD,Actif,2
1205,Durand,Bernadette,F,1984-06-22,2014-03-21,Développeur,Commercial,CDD,Inactif,11
1206,Lebon,Jacqueline,F,1985-04-15,2021-09-29,Chef de projet,Commercial,CDD,Actif,4
1207,Blin,Michèle,F,1996-08-27,2019-11-13,Chef de projet,Commercial,Intérim,Inactif,6
1208,Laporte,Marie,F,1993-05-28,2023-02-21,Développeur,RH,Intérim,Actif,2
1209,Dias,Jacques,M,1988-05-23,2022-05-29,Analyste RH,Direction,CDD,Inactif,3
1210,De Sousa,Grégoire,M,1985-04-26,2014-09-23,Développeur,Direction,Intérim,Actif,11
1211,Grondin,Célina,F,1977-07-22,2015-10-26,Ingénieur Système,Commercial,Intérim,Actif,10
1212,Mathieu,Éléonore,F,1977-06-26,2014-02-17,Chef de projet,RH,CDI,Actif,11
1213,Rousset,Olivier,M,1983-04-08,2022-10-11,Comptable,Finance,Intérim,Inactif,3
1214,Pruvost,Rémy,M,1983-09-16,2012-02-28,Comptable,IT,Intérim,Inactif,13
1215,Leclercq,William,M,1979-12-07,2016-08-03,Comptable,RH,CDD,Inactif,9
1216,Colin,Madeleine,F,1965-05-31,2022-06-30,Comptable,Finance,CDI,Actif,3
1217,Joubert,Charlotte,F,1983-02-13,2011-03-23,Chef de projet,Direction,Intérim,Inactif,14
1218,Vincent,Luce,F,1973-01-16,2021-04-20,Analyste RH,IT,CDD,Inactif,4
1219,Chrétien,Patrick,M,1971-06-07,2010-08-29,Analyste RH,Commercial,CDD,Inactif,15
1220,Baudry,Guy,M,1996-05-23,2018-08-05,Développeur,Direction,CDI,Inactif,7
1221,Besnard,Marianne,F,1976-12-30,2011-04-29,Ingénieur Système,IT,CDI,Inactif,14
1222,Fleury,Olivier,M,1972-03-19,2024-06-08,Chef de projet,Commercial,Intérim,Inactif,1
1223,François,Luc,M,1997-11-30,2011-09-17,Comptable,RH,CDI,Actif,14
1224,Verdier,Thomas,M,1968-02-06,2013-01-11,Comptable,RH,Intérim,Actif,12
1225,Gérard,Madeleine,F,1970-04-01,2014-09-03,Comptable,IT,CDD,Inactif,11
1226,Lemaire,Roger,M,1992-10-09,2020-10-06,Ingénieur Système,IT,CDI,Actif,5
1227,Godard,Thierry,M,1979-10-23,2023-08-24,Ingénieur Système,IT,CDD,Actif,2
1228,Barbe,Monique,F,1995-02-09,2017-12-24,Comptable,RH,Intérim,Actif,8
1229,Léger,Pénélope,F,1985-03-26,2020-02-15,Chef de projet,Direction,CDD,Actif,5
1230,Legendre,Antoine,M,1971-03-16,2023-06-05,Développeur,Finance,Intérim,Actif,2
1231,Guillaume,Frédérique,F,1982-06-17,2021-09-07,Ingénieur Système,IT,CDD,Actif,4
1232,Faure,Édouard,M,1980-10-09,2013-05-29,Analyste RH,Finance,CDD,Actif,12
1233,Courtois,Auguste,M,1975-02-07,2010-06-30,Chef de projet,Finance,CDI,Inactif,15
1234,Lejeune,Maurice,M,1996-06-05,2015-05-28,Comptable,RH,CDD,Actif,10
1235,David,Gabriel,M,1984-01-21,2022-06-23,Chef de projet,IT,Intérim,Inactif,3
1236,Carre,Susanne,F,1969-04-18,2022-02-22,Ingénieur Système,IT,CDI,Inactif,3
1237,Rey,Gilles,M,1977-11-29,2017-09-06,Comptable,Finance,CDI,Inactif,8
1238,Noël,Hélène,F,1974-08-04,2014-12-20,Comptable,Direction,Intérim,Actif,11
1239,Blanchard,Auguste,M,1968-07-05,2013-04-10,Analyste RH,IT,Intérim,Inactif,12
1240,Le Gall,Théophile,M,2003-03-09,2015-05-12,Comptable,Finance,CDD,Actif,10
1241,Navarro,Charles,M,1996-05-06,2022-03-02,Ingénieur Système,IT,CDD,Inactif,3
1242,Bailly,Luc,M,1982-12-23,2018-12-18,Ingénieur Système,RH,CDD,Inactif,7
1243,Gimenez,Virginie,F,1994-03-29,2011-10-26,Analyste RH,Direction,CDI,Actif,14
1244,Joseph,Alice,F,1993-11-07,2022-12-12,Développeur,IT,CDD,Actif,3
1245,Breton,Thibaut,M,1981-06-27,2010-11-21,Analyste RH,IT,Intérim,Inactif,15
1246,Robin,Henriette,F,1965-11-11,2023-06-18,Analyste RH,Direction,CDD,Actif,2
1247,Maillet,Grégoire,M,1967-03-10,2023-06-07,Analyste RH,Finance,CDI,Actif,2
1248,Boulay,Emmanuel,M,1996-06-20,2019-04-12,Comptable,Commercial,CDI,Actif,6
1249,Gilles,Matthieu,M,1983-05-19,2013-07-15,Ingénieur Système,RH,CDD,Inactif,12
1250,Mary,Martin,M,1997-11-29,2012-01-01,Ingénieur Système,Direction,CDD,Actif,13
1251,Lelièvre,Jérôme,M,1992-03-28,2016-02-14,Analyste RH,RH,CDI,Inactif,9
1252,Lebrun,Caroline,F,1975-05-25,2016-01-23,Ingénieur Système,IT,CDI,Actif,9
1253,Bouchet,Paul,M,1984-01-24,2021-09-21,Ingénieur Système,Finance,CDI,Inactif,4
1254,Maréchal,Robert,M,1966-12-13,2018-03-10,Comptable,Direction,Intérim,Inactif,7
1255,Blanc,Hugues,M,1981-08-17,2015-12-13,Développeur,Direction,Intérim,Actif,10
1256,Ferreira,Luc,M,1999-06-21,2010-06-21,Développeur,RH,CDI,Actif,15
1257,Descamps,Richard,M,1995-11-21,2017-06-24,Comptable,RH,CDD,Inactif,8
1258,Vincent,Élisabeth,F,1999-09-24,2016-08-09,Analyste RH,RH,CDD,Inactif,9
1259,Loiseau,Paul,M,1994-07-13,2023-05-19,Ingénieur Système,Direction,Intérim,Actif,2
1260,Roux,Emmanuelle,F,1982-08-16,2019-10-17,Analyste RH,IT,CDD,Actif,6
1261,Payet,Guy,M,1994-04-07,2022-04-30,Comptable,Commercial,CDI,Actif,3
1262,Vallée,Charles,M,1966-06-01,2021-03-02,Analyste RH,Direction,CDD,Actif,4
1263,Raynaud,Georges,M,1975-03-25,2015-09-26,Chef de projet,Direction,CDD,Inactif,10
1264,Courtois,Agathe,F,2002-01-12,2017-05-23,Ingénieur Système,Commercial,CDI,Inactif,8
1265,Morin,Hélène,F,1972-03-04,2018-04-20,Comptable,RH,Intérim,Actif,7
1266,Lemaire,Colette,F,1998-05-14,2022-08-22,Comptable,Direction,Intérim,Inactif,3
1267,Klein,Dominique,F,1983-01-22,2017-07-08,Comptable,Commercial,CDD,Inactif,8
1268,Guillet,Sylvie,F,1981-01-13,2018-03-22,Comptable,Commercial,CDD,Inactif,7
1269,Courtois,Claudine,F,1990-07-22,2013-09-10,Ingénieur Système,Direction,Intérim,Inactif,12
1270,Joseph,Dominique,F,1973-09-27,2011-08-21,Chef de projet,Direction,CDD,Actif,14
1271,Baron,Patricia,F,1987-07-31,2023-11-07,Comptable,Commercial,CDD,Actif,2
1272,Guillou,Juliette,F,1964-08-16,2015-04-06,Analyste RH,Direction,Intérim,Actif,10
1273,Pages,Lucy,F,1997-10-09,2012-12-23,Ingénieur Système,RH,CDI,Actif,13
1274,Cohen,René,M,1997-05-30,2016-04-27,Chef de projet,Finance,CDI,Actif,9
1275,Le Roux,Michelle,F,1995-06-09,2015-12-04,Comptable,Finance,Intérim,Actif,10
1276,Roche,Georges,M,2003-05-13,2016-12-18,Analyste RH,Commercial,Intérim,Inactif,9
